parcel_id,bbox_x,bbox_y,bbox_w,bbox_h,cx,cy,area_px,detected_number,confidence,validation,tess_text,easyocr_text,engines_agree
353,5914,3167,93,46,5961,3190,604.0,,0.0,UNKNOWN,,,
354,6091,3157,119,102,6152,3210,759.0,,0.0,UNKNOWN,,,
355,6948,3130,28,57,6961,3156,612.0,,0.0,UNKNOWN,,,
356,6464,3129,103,121,6509,3177,1110.0,,0.0,UNKNOWN,,,
357,633,3120,963,137,1163,3208,6000.5,,0.0,UNKNOWN,,,
358,1896,3118,83,80,1931,3155,738.5,,0.0,UNKNOWN,,,
359,6745,3114,131,172,6806,3206,1577.5,,0.0,UNKNOWN,,,
360,2779,3112,55,50,2813,3144,551.5,,0.0,UNKNOWN,,,
361,5849,3111,45,39,5871,3130,1214.0,0,0.356,INVALID,,0,
362,6339,3110,157,82,6418,3143,1926.5,,0.0,UNKNOWN,,,
363,7165,3109,45,49,7193,3133,614.0,,0.0,UNKNOWN,,,
364,6781,3096,309,181,6908,3205,2940.5,,0.0,UNKNOWN,,,
365,6853,3088,47,68,6874,3130,1610.0,5,0.685,INVALID,,5,
366,6564,3086,181,41,6655,3103,887.0,,0.0,UNKNOWN,,,
367,5653,3083,126,23,5721,3093,571.0,,0.0,UNKNOWN,,,
368,7436,3082,50,27,7462,3094,538.0,,0.0,UNKNOWN,,,
369,7079,3071,912,321,7558,3248,6374.0,,0.0,UNKNOWN,,,
370,895,3065,509,110,1150,3136,2603.5,,0.0,UNKNOWN,,,
371,7095,3051,178,161,7203,3150,1963.0,,0.0,UNKNOWN,,,
372,7286,3032,65,49,7319,3055,766.0,,0.0,UNKNOWN,,,
373,7348,3030,48,62,7374,3058,719.0,,0.0,UNKNOWN,,,
374,7642,3029,184,94,7735,3080,1222.0,,0.0,UNKNOWN,,,
375,7033,3026,62,164,7062,3114,1294.5,,0.0,UNKNOWN,,,
376,5784,3022,154,185,5852,3101,1633.5,0,0.303,INVALID,,0,
377,6010,3011,134,50,6068,3034,583.5,,0.0,UNKNOWN,,,
378,6448,3005,100,83,6499,3049,738.5,,0.0,UNKNOWN,,,
379,6882,2999,301,27,7036,3014,1588.5,,0.0,UNKNOWN,,,
380,7215,2974,81,35,7255,2988,536.5,,0.0,UNKNOWN,,,
381,7280,2970,350,202,7464,3087,4483.5,,0.0,UNKNOWN,,,
382,8013,2949,136,217,8075,3064,1369.5,,0.0,UNKNOWN,,,
383,2934,2940,146,28,3001,2953,700.0,,0.0,UNKNOWN,,,
384,5417,2918,81,53,5451,2947,728.5,,0.0,UNKNOWN,,,
385,2093,2913,89,80,2128,2955,978.5,,0.0,UNKNOWN,,,
386,7372,2904,140,47,7447,2928,716.0,,0.0,UNKNOWN,,,
387,8178,2885,127,40,8242,2904,644.0,,0.0,UNKNOWN,,,
388,6315,2883,83,76,6352,2918,631.5,,0.0,UNKNOWN,,,
389,5826,2864,89,100,5871,2913,698.0,,0.0,UNKNOWN,,,
390,6362,2861,91,84,6405,2902,628.0,,0.0,UNKNOWN,,,
391,3888,2848,227,235,4001,2963,1760.5,,0.0,UNKNOWN,,,
392,1591,2845,291,198,1740,2941,2276.5,,0.0,UNKNOWN,,,
393,1741,2823,453,219,1970,2913,4220.5,,0.0,UNKNOWN,,,
394,7270,2813,220,74,7385,2854,1626.0,,0.0,UNKNOWN,,,
395,6973,2812,40,35,6992,2829,532.5,0,0.656,INVALID,,0,
396,2150,2804,140,121,2227,2860,840.0,,0.0,UNKNOWN,,,
397,7575,2785,63,46,7605,2805,555.5,,0.0,UNKNOWN,,,
398,5764,2776,376,91,5951,2832,2526.5,,0.0,UNKNOWN,,,
399,1009,2773,33,79,1026,2811,567.5,,0.0,UNKNOWN,,,
400,7646,2760,54,43,7672,2780,1727.5,0,0.663,INVALID,,0,
401,6317,2759,325,56,6492,2785,2399.0,,0.0,UNKNOWN,,,
402,6650,2751,156,199,6717,2842,1602.0,,0.0,UNKNOWN,,,
403,1884,2751,313,97,2045,2801,2521.5,,0.0,UNKNOWN,,,
404,2126,2750,252,294,2264,2903,2570.0,,0.0,UNKNOWN,,,
405,5373,2737,172,43,5449,2760,667.0,,0.0,UNKNOWN,,,
406,7693,2736,64,33,7723,2750,554.5,,0.0,UNKNOWN,,,
407,8387,2730,52,152,8402,2806,1159.5,,0.0,UNKNOWN,,,
408,5760,2726,376,102,5947,2793,2599.5,,0.0,UNKNOWN,,,
409,2386,2725,76,23,2425,2734,662.5,,0.0,UNKNOWN,,,
410,7029,2720,174,22,7114,2730,1050.5,,0.0,UNKNOWN,,,
411,5615,2710,106,24,5670,2722,554.0,,0.0,UNKNOWN,,,
412,6431,2706,51,42,6452,2727,761.0,0,0.554,INVALID,,0,
413,7524,2703,370,199,7710,2816,2202.0,0,0.402,INVALID,,0,
414,6252,2703,125,94,6319,2749,1098.0,,0.0,UNKNOWN,,,
415,7750,2699,73,51,7786,2716,816.0,,0.0,UNKNOWN,,,
416,6487,2689,38,58,6507,2715,543.0,,0.0,UNKNOWN,,,
417,6154,2678,165,134,6239,2744,1194.0,,0.0,UNKNOWN,,,
418,7348,2668,56,41,7377,2687,1591.0,0,0.477,INVALID,,0,
419,2150,2667,111,28,2207,2681,928.0,,0.0,UNKNOWN,,,
420,7224,2664,102,53,7282,2682,1066.5,,0.0,UNKNOWN,,,
421,3125,2664,143,20,3197,2673,1207.5,,0.0,UNKNOWN,,,
422,7495,2659,272,166,7617,2745,2198.5,0,0.505,INVALID,,0,
423,7417,2657,51,44,7442,2676,705.0,,0.0,UNKNOWN,,,
424,3441,2649,140,39,3515,2667,1221.5,,0.0,UNKNOWN,,,
425,7474,2641,70,42,7508,2660,690.0,,0.0,UNKNOWN,,,
426,5776,2631,59,54,5805,2657,504.0,,0.0,UNKNOWN,,,
427,5337,2628,298,118,5481,2683,1400.5,,0.0,UNKNOWN,,,
428,2640,2628,136,22,2710,2638,762.0,,0.0,UNKNOWN,,,
429,8399,2595,81,132,8437,2660,1043.5,,0.0,UNKNOWN,,,
430,7766,2595,64,65,7799,2627,516.0,,0.0,UNKNOWN,,,
431,6625,2594,400,42,6824,2616,2828.5,,0.0,UNKNOWN,,,
432,2871,2593,129,28,2931,2606,915.0,,0.0,UNKNOWN,,,
