id,area_px,area_frac,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,aspect_ratio,perimeter_px,solidity,compactness
591,1025.0,1.9e-05,6829,1013,6776,996,104,34,3.059,264.0,0.662,0.185
592,653.0,1.2e-05,2483,1014,2428,986,117,64,1.828,308.5,0.337,0.086
593,586.0,1.1e-05,7454,1026,7447,985,17,86,0.198,206.0,0.66,0.173
594,781.0,1.5e-05,2926,1033,2885,978,85,108,0.787,318.5,0.441,0.097
595,1972.5,3.7e-05,1563,1028,1414,978,294,89,3.303,727.4,0.261,0.047
596,710.0,1.3e-05,7348,1012,7324,969,51,80,0.637,240.5,0.412,0.154
597,1352.0,2.5e-05,1299,1003,1203,966,202,73,2.767,474.8,0.578,0.075
598,704.0,1.3e-05,1667,991,1626,954,85,83,1.024,270.0,0.488,0.121
599,1370.5,2.6e-05,5400,994,5316,948,173,92,1.88,436.3,0.656,0.09
600,777.5,1.5e-05,1533,976,1508,946,43,60,0.717,245.7,0.484,0.162
601,603.5,1.1e-05,6634,938,6594,926,84,25,3.36,202.6,0.641,0.185
602,956.0,1.8e-05,5205,979,5194,922,20,114,0.175,270.2,0.641,0.165
603,666.5,1.2e-05,1472,945,1444,919,48,57,0.842,216.6,0.431,0.179
604,571.5,1.1e-05,2706,926,2677,907,64,38,1.684,197.2,0.573,0.185
605,705.5,1.3e-05,7488,982,7464,902,53,152,0.349,353.3,0.459,0.071
606,739.5,1.4e-05,1405,917,1384,892,62,51,1.216,224.6,0.429,0.184
607,594.0,1.1e-05,2053,939,2034,890,41,104,0.394,252.3,0.565,0.117
608,772.0,1.4e-05,1520,916,1442,890,170,57,2.982,392.5,0.588,0.063
609,653.0,1.2e-05,6943,921,6925,883,38,76,0.5,217.1,0.681,0.174
610,515.5,1e-05,906,913,886,881,47,67,0.701,216.2,0.454,0.139
611,537.5,1e-05,7831,937,7828,880,9,120,0.075,263.3,0.694,0.097
612,832.5,1.6e-05,2924,939,2878,871,88,134,0.657,350.4,0.512,0.085
613,558.0,1e-05,7650,889,7635,861,46,59,0.78,185.0,0.498,0.205
614,713.5,1.3e-05,2618,860,2600,837,47,62,0.758,253.5,0.418,0.139
615,1466.5,2.7e-05,2268,850,2166,812,201,90,2.233,485.3,0.471,0.078
616,624.0,1.2e-05,1466,825,1435,803,49,52,0.942,210.7,0.417,0.177
617,1823.5,3.4e-05,1120,916,1026,790,190,240,0.792,662.6,0.443,0.052
